Sexo;Provincia;Municipio;Fecha;Total
Mujeres;Madrid;Garganta de los Montes;1 de enero de 2022;181
Mujeres;Madrid;Gargantilla del Lozoya y Pinilla de Buitrago;1 de enero de 2022;155
Mujeres;Madrid;Gascones;1 de enero de 2022;98
Mujeres;Madrid;Getafe;1 de enero de 2022;93826
Mujeres;Madrid;Griñon;1 de enero de 2022;5302
Mujeres;Madrid;Guadalix de la Sierra;1 de enero de 2022;3317
Mujeres;Madrid;Guadarrama;1 de enero de 2022;8578
Mujeres;Madrid;Hiruela, La;1 de enero de 2022;25
Mujeres;Madrid;Horcajo de la Sierra-Aoslos;1 de enero de 2022;94
Mujeres;Madrid;Horcajuelo de la Sierra;1 de enero de 2022;52
Mujeres;Madrid;Hoyo de Manzanares;1 de enero de 2022;4368
Mujeres;Madrid;Humanes de Madrid;1 de enero de 2022;9969
Mujeres;Madrid;Leganes;1 de enero de 2022;96622
Mujeres;Madrid;Loeches;1 de enero de 2022;4448
Mujeres;Madrid;Lozoya;1 de enero de 2022;280
Mujeres;Madrid;Lozoyuela-Navas-Sieteiglesias;1 de enero de 2022;702
Mujeres;Madrid;Madarcos;1 de enero de 2022;31
Mujeres;Madrid;Madrid;1 de enero de 2022;1749568
Mujeres;Madrid;Majadahonda;1 de enero de 2022;38031
Mujeres;Madrid;Manzanares el Real;1 de enero de 2022;4580
Mujeres;Madrid;Meco;1 de enero de 2022;7508
Mujeres;Madrid;Mejorada del Campo;1 de enero de 2022;12067
Mujeres;Madrid;Miraflores de la Sierra;1 de enero de 2022;3271
Mujeres;Madrid;Molar, El;1 de enero de 2022;4663
Mujeres;Madrid;Molinos, Los;1 de enero de 2022;2376
